VegCover;Locality;Site;Abundance;Species
Secondary forest;Las Vegas;1;1.25;0.75
Secondary forest;Las Vegas;2;1.5;1
Secondary forest;Las Vegas;3;2.75;0.75
Secondary forest;Las Vegas;4;0.25;0.25
Secondary forest;Las Palmas;1;0.75;0.75
Secondary forest;Las Palmas;2;1.25;0.75
Secondary forest;Las Palmas;3;0.75;0.5
Secondary forest;Las Palmas;4;0.75;0.5
Secondary forest;Santa Elena;1;0.75;0.25
Secondary forest;Santa Elena;2;1;0.75
Secondary forest;Santa Elena;3;0.75;0.75
Secondary forest;Santa Elena;4;2.25;0.75
Secondary forest;Santa Rita;1;0.5;0.25
Secondary forest;Santa Rita;2;0.5;0.5
Secondary forest;Santa Rita;3;1.75;1.25
Secondary forest;Santa Rita;4;1.75;1.5
Pasture;Las Vegas;1;1.5;1.5
Pasture;Las Vegas;2;0.5;0.5
Pasture;Las Vegas;3;1.5;1.5
Pasture;Las Vegas;4;3;1
Pasture;Las Palmas;1;0.5;0.5
Pasture;Las Palmas;2;0;0
Pasture;Las Palmas;3;0;0
Pasture;Las Palmas;4;0;0
Pasture;Santa Rita;1;1.25;1
Pasture;Santa Rita;2;4.25;1.25
Pasture;Santa Rita;3;2;0.25
Pasture;Santa Rita;4;4;1
Pasture;Santa Elena;1;0.75;0.5
Pasture;Santa Elena;2;0.5;0.25
Pasture;Santa Elena;3;0;0
Pasture;Santa Elena;4;0;0
Cacao agroforestry;Las Vegas;1;3;2.25
Cacao agroforestry;Las Vegas;2;1;0.75
Cacao agroforestry;Las Vegas;3;3.5;2
Cacao agroforestry;Las Vegas;4;1.75;1.25
Cacao agroforestry;Las Palmas;1;1.5;1
Cacao agroforestry;Las Palmas;2;2.75;1.5
Cacao agroforestry;Las Palmas;3;0.75;0.75
Cacao agroforestry;Las Palmas;4;2.25;1.75
Cacao agroforestry;Santa Elena;1;1.5;0.75
Cacao agroforestry;Santa Elena;2;1.75;1.5
Cacao agroforestry;Santa Elena;3;1.25;1
Cacao agroforestry;Santa Elena;4;2.5;1.5
Cacao agroforestry;Santa Rita;1;2.25;1
Cacao agroforestry;Santa Rita;2;1.5;1
Cacao agroforestry;Santa Rita;3;2.25;1.5
Cacao agroforestry;Santa Rita;4;1.5;1
