Cobertura;Abananote_hylonome;Achlyodes_busirus;Actinote_pellenea;Actinote_thalia;Altinote_neleus;Anartia_amathea;Apaustus_gracilis;Arawacus_togarna;Archaeoprepona_demophoon;Autochton_zarex;Battus_polydamas;Calephelis;Callimormus_saturnus;Calycopis;Catonephele_numilia;Ceratinia_tutia;Charis_anius;Cissia_palladia;Colobura_dirce;Danaus_gilippus_subsp._xanthippus;Danaus_plexippus;Detritivora_hermodora;Dismorphia_crisia_subsp._foedora;Dryas_iulia;Emesis_tenedia;Eresia_clio;Erichthodes_antonina;Eueides_isabella;Euphyes_peneia;Eurema_albula;Eurema_arbela_subsp._gratiosa;Eurema_phiale_subsp._columbia;Eurema_xantochlora;Eutychide_subpunctata;Gorgythion_begga;Hades_noctula;Hamadryas_feronia;Heliconius_cydno;Heliconius_erato;Heliconius_melpomene;Heliconius_sara;Heliopetes_arsalte;Hemiargus_ceraunus;Hemiargus_hanno;Hemiargus_huntingtoni;Heraclides_thoas_subsp._nealces;Hermeuptychia_hermes;Hermiargus_ceraunus;Historis_odius;Hylephila_phyleus;Ithomia_iphianassa;Ithomia_lichyi;Junonia_genoveva;Magneuptychia_libye;Marpesia_petreus;Mechanitis_menapis;Megeuptychia_antonoe;Oressinoma_typhla;Pareuptychia_metaleuca;Pareuptychia_ocirrhoe;Parides_iphidamas_subsp._elatos;Parides_panares_subsp._tachira;Perichares_adela;Pharneuptychia_pharnabazos;Philaethria_dido;Phoebis_sennae;Prepona_laertes;Pyrgus_orcus;Pyrisitia_proterpia;Pyrisitia_venusta;Remella_vopiscus;Taygetis_thamyra;Tegosa_anieta;Theritas_mavors;Urbanus_proteus;Urbanus_teleus;Vehilius_stictomenes;Yphthimoides_renata;Zizula_cyna
BQ;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;1;1;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0
BQ;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;2;0;1;0;0;0;0;0;0;4;0;0;0;1;0;0;0;3;0;0;0;0;0;0;0;0;0;0;3;3;1;0;0;0;2;0;0;0;0;0;3;0;0;0;0;1;1;0;1;0
BQ;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;1;0;0;1;0;0;0;0;0;0;0;4;3;0;0;2;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;0;0;0;0;0;0;0;2;0;0;0;0;0
BQ;0;0;0;0;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;4;0;0;1;1;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;0;2;2;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0
PA;0;0;0;1;0;3;0;0;0;1;0;2;0;1;0;0;1;0;0;0;0;1;0;0;0;1;0;0;3;5;2;0;0;1;1;0;0;0;0;0;0;1;1;0;0;0;0;1;0;2;0;0;0;0;0;0;0;0;0;1;0;0;2;0;0;0;0;0;0;0;1;0;3;0;0;0;0;0;0
PA;0;0;0;0;0;2;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;1;0;0;0;0;3;0;0;1;0;5;0;0;0;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;6;0;5;0;0;0;0;0;4;0;0;0
PA;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;1;0;0;0;1;1;0;0;0;0;0;0;0;0;1;0;1;0;0;1;0;0;1;0;0;1;0;1;1;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0
PA;0;0;0;0;0;2;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;7;0;0;0;0;2;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0
SAF;0;0;0;0;0;0;1;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;2;0;0;0;1;0;1;0;0;0;0;0;0;1;1;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;0;1;0;0
SAF;1;1;0;0;0;1;0;0;0;0;0;0;1;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;5;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;7;0;0;1;0;0;0;1;0;1;0;1;0;2;0;0;0;1;0;0;0;0;0;1;0;0;0;0;0;0;0;1;1
SAF;0;0;1;0;0;1;0;0;0;0;0;1;0;0;0;0;1;3;1;0;0;0;0;0;0;0;0;0;0;3;0;0;0;0;0;0;0;0;1;1;0;0;0;0;0;0;4;0;0;0;0;0;0;0;0;0;0;0;2;1;0;0;0;0;0;0;0;0;0;1;0;5;0;0;0;0;0;6;0
SAF;0;0;0;0;0;0;0;1;0;0;0;0;0;0;0;2;0;0;0;0;0;0;0;0;1;0;0;1;0;0;0;0;0;0;1;0;0;0;0;0;0;0;0;0;0;0;1;0;0;0;1;0;0;0;0;4;0;0;1;0;0;0;0;1;0;1;1;0;0;3;0;0;0;0;0;0;1;1;0
